교량명,도로종류,도로노선명,도로노선번호,도로노선방향,시도명,시군구명,소재지도로명주소,소재지지번주소,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도,시설물종별등급구분,상부구조형식,Type,,상하행선분리여부,교량연장,교량폭,높이,통행하중,제한속도,가변속도제한유무,제한차량,차로수,교량준공년도,최종안전점검일자,최종안전점검결과,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
반포천2교,7,신반포로16길,2602번,3,1,서초구,,서울특별시 서초구 반포동 15-2,37.5002074,126.9965555,37.5017033,126.9956701,2,PF교,,3,N,180.7,26,0,43.2,, ,,5,2009,2018-06-13,B,서초구,02-2155-6978,2018-07-27,3210000,서울특별시 서초구
송동2교,7,양재대로2길(1-125),2603번,3,1,서초구,,서울특별시 서초구 우면동 647-44,37.4571823,127.0219943,37.457383,127.0224482,99,RPF빔교,Girder,,N,44.24,24,0,43.2,, ,,2,2014,2018-06-13,B,서초구,02-2155-6978,2018-07-27,3210000,서울특별시 서초구
헌인교,7,헌릉로(467-1 → 467-10),2601번,3,1,서초구,,서울특별시 서초구 내곡동 1-2389,37.4636414,127.0902803,37.4639053,127.0903025,99,합성형라멘교,Rahmen,,N,28,12,0,43.2,, ,,2,2014,2018-06-13,B,서초구,02-2155-6978,2018-07-27,3210000,서울특별시 서초구
전원교,7,없음,없음,3,1,서초구,,서울특별시 서초구 방배동 2951,37.4679945,126.9872985,37.4681009,126.9874236,99,라멘교,Rahmen,,N,16,10.9,0,43.2,, ,,2,2016,2018-03-15,A,서초구,02-2155-6978,2018-07-27,3210000,서울특별시 서초구
신원5교(가칭),7,없음,없음,3,1,서초구,,서울특별시 서초구 신원동 329-6,37.4515933,127.0557277,37.4516889,127.0561207,99,합성형라멘교,Rahmen,,N,27,16,0,43.2,, ,,3,2018,2018-06-12,A,서초구,02-2155-6978,2018-07-27,3210000,서울특별시 서초구
원지천교(가칭),7,없음,없음,3,1,서초구,,서울특별시 서초구 신원동 479,37.4537836,127.0525208,37.4538277,127.0524869,99,RC BOX교,,4,N,9.224,22.5,0,43.2,, ,,3,2018,2018-06-12,A,서초구,02-2155-6978,2018-07-27,3210000,서울특별시 서초구
신원6교(가칭),7,없음,없음,3,1,서초구,,서울특별시 서초구 신원동 480-1,37.4541966,127.0527686,37.4542384,127.0527146,99,RC BOX교,,4,N,7.45,4.5,0,43.2,, ,,0,2018,2018-06-12,A,서초구,02-2155-6978,2018-07-27,3210000,서울특별시 서초구
내곡1교(가칭),7,없음,없음,3,1,서초구,,서울특별시 서초구 내곡동 150,37.4542746,127.064352,37.4544362,127.0643916,99,RC BOX교,,4,N,6,17,0,43.2,, ,,2,2018,2018-06-12,A,서초구,02-2155-6978,2018-07-27,3210000,서울특별시 서초구
내곡2교(가칭),7,없음,없음,3,1,서초구,,서울특별시 서초구 내곡동 148,37.454574,127.06343,37.4546092,127.0635561,99,RC BOX교,,4,N,11.9,42,0,43.2,, ,,3,2018,2018-06-12,A,서초구,02-2155-6978,2018-07-27,3210000,서울특별시 서초구
내곡3교(가칭),7,없음,없음,3,1,서초구,,서울특별시 서초구 신원동 411-47,37.4559309,127.0592297,37.4561816,127.0591583,99,RC 라멘교,Rahmen,,N,17.3,19,0,43.2,, ,,3,2018,2018-06-12,A,서초구,02-2155-6978,2018-07-27,3210000,서울특별시 서초구
안골천인도교(가칭),7,없음,없음,3,1,서초구,,서울특별시 서초구 내곡동 353-4,37.4566143,127.0603586,37.4567086,127.0602563,99,RC 라멘교,Rahmen,,N,16.6,2,0,43.2,, ,,0,2018,2018-06-12,A,서초구,02-2155-6978,2018-07-27,3210000,서울특별시 서초구
장안교,7,가람길,가람길,3,1,성동구,,서울특별시 성동구 송정동 75-6,37.552117,127.054588,37.551425,127.054016,2,일반교,,1,N,100,8,4,32.4,, ,차량높이3.5미터,2,1977,2018-04-20,B,서울특별시 성동구,02-2286-5774,2018-08-03,3030000,서울특별시 성동구
미남교,3,쇠미로,0,3,2,동래구,부산광역시 동래구 쇠미로 220,부산광역시 동래구 온천동 1250-1,35.209627,129.064456,35.209326,129.064232,3,강박스거더교,Girder,,Y,41,20,6,24,, ,,4,1986,2018-03-12,B,동래구청,051-550-4695,2018-08-17,3300000,부산광역시 동래구
동래교,7,동래로,0,3,2,동래구,부산광역시 동래구 동래로 41,부산광역시 동래구 명륜동 681-23,35.211112,129.079235,35.211637,129.078785,3,라멘교,Rahmen,,Y,58,20,6,24,, ,,4,1988,2018-03-14,B,동래구청,051-550-4695,2018-08-17,3300000,부산광역시 동래구
세병교,3,명륜로,0,3,2,동래구,부산광역시 동래구 명륜로 29,부산광역시 동래구 수안동 67-6,35.197054,129.082947,35.196659,129.082221,3,PC빔교,Girder,,Y,90,20,6,24,, ,,4,1977,2018-03-13,A,동래구청,051-550-4695,2018-08-17,3300000,부산광역시 동래구
온천2호 인도교,99,온천천로,0,3,2,동래구,부산광역시 동래구 온천천로 195,부산광역시 동래구 사직동 9-1,35.201944,129.078892,35.201953,129.078334,3,RCT빔교,Girder,,N,43,3,6,24,, ,,1,1973,2018-03-14,B,동래구청,051-550-4695,2018-08-17,3300000,부산광역시 동래구
금강교,7,구만덕로,0,3,2,동래구,부산광역시 동래구 금정마을로 4,부산광역시 동래구 온천동 1723-6,35.212047,129.05788,35.212159,129.057893,99,라멘교,Rahmen,,N,18,4,6,24,, ,,1,1988,2018-03-13,A,동래구청,051-550-4695,2018-08-17,3300000,부산광역시 동래구
제2동래교,99,동래로,0,3,2,동래구,부산광역시 동래구 명륜로187번길 56,부산광역시 동래구 명륜동 702-54,35.211392,129.079402,35.211791,129.078866,3,PSC단순교,,1,N,56,8,6,24,, ,,1,1988,2018-03-14,A,동래구청,051-550-4695,2018-08-17,3300000,부산광역시 동래구
새들교,7,금정마을로,0,3,2,동래구,부산광역시 동래구 금정마을로 109,부산광역시 동래구 온천동 1119-95,35.211279,129.066137,35.21135,129.066205,3,라멘교,Rahmen,,Y,15,15,6,24,, ,,4,1988,2018-03-13,A,동래구청,051-550-4695,2018-08-17,3300000,부산광역시 동래구
옥천교,3,구만덕로,0,3,2,동래구,부산광역시 동래구 금정마을로 1116-25,부산광역시 동래구 온천동 1115,35.213397,129.061809,35.213471,129.061751,99,PC빔교,Girder,,Y,15,15,6,24,, ,,4,1988,2018-03-13,A,동래구청,051-550-4695,2018-08-17,3300000,부산광역시 동래구
당사교,6,석산1길,5번,3,2,기장군,,부산광역시 기장군 기장읍 내리 701-113,37.6069233,126.9692056,37.6069233,126.9692056,99,"RC Slab, RC Box",,1,Y,14.5,6,2.7,18,, ,,1,1973,2018-06-30,B,기장군청,051-709-4691,2018-08-01,3400000,부산광역시 기장군
내리교,6,기장대로,5번,3,2,기장군,,부산광역시 기장군 기장읍 석산1길 32-14 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,문형라멘교,Rahmen,,Y,40,32,4.8,24,, ,,6,2001,2018-06-30,B,기장군청,051-709-4691,2018-08-01,3400000,부산광역시 기장군
연화육교,6,기장대로,5번,3,2,기장군,,부산광역시 기장군 기장읍 석산리 산1-20 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,PSC I형교,,19,Y,30,10,9.8,18,, ,,1,1975,2018-06-30,B,기장군청,051-709-4691,2018-08-01,3400000,부산광역시 기장군
연화교(신),6,청연로,5번,3,2,기장군,,부산광역시 기장군 기장읍 청강리 777-8 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,S-Preflex,,1,Y,30,20,11,24,, ,,4,2014,2018-06-30,B,기장군청,051-709-4691,2018-08-01,3400000,부산광역시 기장군
연화과선교,6,기장대로,5번,3,2,기장군,,부산광역시 기장군 기장읍 청강리 806-1 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,강박스형교,,13,Y,50,32,11.9,24,, ,,6,2001,2018-06-30,B,기장군청,051-709-4691,2018-08-01,3400000,부산광역시 기장군
연화교,6,연화길,5번,3,2,기장군,,부산광역시 기장군 기장읍 연화리 109-9 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,RC 슬래브,Slab,,Y,6.25,8,2.9,18,, ,,2,1990,2018-06-30,B,기장군청,051-709-4691,2018-08-01,3400000,부산광역시 기장군
청강과선교,6,대청로,5번,3,2,기장군,,부산광역시 기장군 기장읍 청강리 270-4 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,강박스형교,,13,Y,100.4,9.5,9.3,24,, ,,2,1993,2018-06-30,B,기장군청,051-709-4691,2018-08-01,3400000,부산광역시 기장군
기장과선교,6,차성남로,5번,3,2,기장군,,부산광역시 기장군 기장읍 청강리 55-8 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,프리플렉스형교,Girder,,Y,30,19,8.1,24,, ,,4,2015,2018-06-30,B,기장군청,051-709-4691,2018-08-01,3400000,부산광역시 기장군
죽성교,6,기장대로,5번,3,2,기장군,,부산광역시 기장군 기장읍 청강리 791-1 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,문형라멘교,Rahmen,,Y,32,32,5.4,24,, ,,8,2001,2018-06-30,B,기장군청,051-709-4691,2018-08-01,3400000,부산광역시 기장군
좌일교,6,장곡길,5번,3,2,기장군,,부산광역시 기장군 장안읍 좌천리 510-153 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,RC T-Beam,,1,Y,60,12,7.8,24,, ,,2,2000,2018-06-30,B,기장군청,051-709-4691,2018-08-01,3400000,부산광역시 기장군
좌천교,6,좌천길,5번,3,2,기장군,,부산광역시 기장군 장안읍 좌천리 510-153 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,강판형교,,10,Y,49,10,6.5,18,, ,,2,1980,2018-06-30,B,기장군청,051-709-4691,2018-08-01,3400000,부산광역시 기장군
덕선천교,6,해맞이로,5번,3,2,기장군,,부산광역시 기장군 장안읍 좌동리 573-31 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,Preflex 합성형라멘교,Rahmen,,Y,20,25,5.1,24,, ,,4,2015,2018-06-30,B,기장군청,051-709-4691,2018-08-01,3400000,부산광역시 기장군
좌동교,6,기장대로,5번,3,2,기장군,,부산광역시 기장군 장안읍 좌동리 264-6 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,RC 슬래브,Slab,,Y,24,19,4.8,24,, ,,4,1993,2018-06-30,B,기장군청,051-709-4691,2018-08-01,3400000,부산광역시 기장군
하근교,6,하근2길,5번,3,2,기장군,,부산광역시 기장군 장안읍 기룡리 1067-90 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,RC 슬래브,Slab,,Y,52,10.5,4.5,24,, ,,2,1989,2018-06-30,B,기장군청,051-709-4691,2018-08-01,3400000,부산광역시 기장군
구기룡교,6,장안로,5번,3,2,기장군,,부산광역시 기장군 장안읍 기룡리 567-17 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,DPF 합성형라멘교,Rahmen,,Y,35.3,4.5,4.6,18,, ,,1,2016,2018-06-30,B,기장군청,051-709-4691,2018-08-01,3400000,부산광역시 기장군
기룡교,6,기룡길,5번,3,2,기장군,,부산광역시 기장군 장안읍 기룡리 1085-9 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,문형라멘교,Rahmen,,Y,25.54,7,4.9,24,, ,,1,2015,2018-06-30,B,기장군청,051-709-4691,2018-08-01,3400000,부산광역시 기장군
기룡1교,6,장안로,5번,3,2,기장군,,부산광역시 기장군 장안읍 기룡리 782-6 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,CPC 합성형라멘교,Rahmen,,Y,32.8,6,5.9,24,, ,,1,2016,2018-06-30,B,기장군청,051-709-4691,2018-08-01,3400000,부산광역시 기장군
상장안교,6,장안로,5번,3,2,기장군,,부산광역시 기장군 장안읍 장안리 441-2 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,문형라멘교,Rahmen,,Y,16,12,4,24,, ,,2,2005,2018-06-30,B,기장군청,051-709-4691,2018-08-01,3400000,부산광역시 기장군
산중교,6,장안로,5번,3,2,기장군,,부산광역시 기장군 장안읍 장안리 664-14 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,강판형 라멘교,Rahmen,,Y,27.78,4.5,5.8,18,, ,,1,2016,2018-06-30,B,기장군청,051-709-4691,2018-08-01,3400000,부산광역시 기장군
개천교,6,신리길,5번,3,2,기장군,,부산광역시 기장군 장안읍 오리 795 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,문형라멘교,Rahmen,,Y,15,4.7,2.5,13.5,, ,,1,1959,2018-06-30,B,기장군청,051-709-4691,2018-08-01,3400000,부산광역시 기장군
효암1교,6,오리길,5번,3,2,기장군,,부산광역시 기장군 장안읍 오리 산15-1 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,HYDRO 라멘교,Rahmen,,Y,46.5,10,4.1,24,, ,,2,2016,2018-06-30,B,기장군청,051-709-4691,2018-08-01,3400000,부산광역시 기장군
태양교,6,오리길,5번,3,2,기장군,,부산광역시 기장군 장안읍 오리 284 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,문형라멘교,Rahmen,,Y,26.2,7.5,4.3,24,, ,,1,2009,2018-06-30,B,기장군청,051-709-4691,2018-08-01,3400000,부산광역시 기장군
대룡교,6,오리길,5번,3,2,기장군,,부산광역시 기장군 장안읍 오리 1053-12 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,PCR 라멘교,Rahmen,,Y,15,8,4,24,, ,,2,2014,2018-06-30,B,기장군청,051-709-4691,2018-08-01,3400000,부산광역시 기장군
효암7교,6,오리길,5번,3,2,기장군,,부산광역시 기장군 장안읍 오리 215-4 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,PCR 라멘교,Rahmen,,Y,24.8,10,4.1,24,, ,,2,2015,2018-06-30,B,기장군청,051-709-4691,2018-08-01,3400000,부산광역시 기장군
효암8교,6,오리길,5번,3,2,기장군,,부산광역시 기장군 장안읍 오리 122-2 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,SPC 라멘교,Rahmen,,Y,27,6,4.6,18,, ,,1,2015,2018-06-30,B,기장군청,051-709-4691,2018-08-01,3400000,부산광역시 기장군
이곡1교,6,이곡길 옆,5번,3,2,기장군,,부산광역시 기장군 철마면 이곡리 713-1답 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,Preflex합성형라멘교,Rahmen,,Y,22,7,9.3,18,, ,,2,2016,2018-06-30,B,기장군청,051-709-5097,2018-08-01,3400000,부산광역시 기장군
연구2교,6,"한들길,이곡길 접속부 상류",5번,3,2,기장군,,부산광역시 기장군 철마면 이곡리 723-6 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,강판형합성형라멘교,Rahmen,,Y,22,7,8.1,18,, ,,2,2016,2018-06-30,B,기장군청,051-709-5097,2018-08-01,3400000,부산광역시 기장군
연구1교,6,난들길,5번,3,2,기장군,,부산광역시 기장군 철마면 연구리 산46-2도 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,강판형합성형라멘교,Rahmen,,Y,24,7,5.4,18,, ,,4,2016,2018-06-30,B,기장군청,051-709-5097,2018-08-01,3400000,부산광역시 기장군
중리교,6,곰내길,5번,3,2,기장군,,부산광역시 기장군 철마면 웅천리 465-3 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,PCR 라멘교,Rahmen,,Y,22.6,10,7.8,24,, ,,8,2015,2018-06-30,B,기장군청,051-709-5097,2018-08-01,3400000,부산광역시 기장군
웅천교,6,한들길,5번,3,2,기장군,,부산광역시 기장군 철마면 웅천리 465-3 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,PCR 라멘교,Rahmen,,Y,21.8,10,6.5,24,, ,,2,2015,2018-06-30,B,기장군청,051-709-5097,2018-08-01,3400000,부산광역시 기장군
석길교,6,석길길,5번,3,2,기장군,,부산광역시 기장군 철마면 웅천리 879-43 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,PCR 라멘교,Rahmen,,Y,26.8,7,5.1,18,, ,,2,2015,2018-06-30,B,기장군청,051-709-5097,2018-08-01,3400000,부산광역시 기장군
새마을교,6,마지2길,5번,3,2,기장군,,부산광역시 기장군 철마면 연구리 102-1 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,PCR 라멘교,Rahmen,,Y,22.2,5,4.8,18,, ,,4,2015,2018-06-30,B,기장군청,051-709-5097,2018-08-01,3400000,부산광역시 기장군
마지교,6,한들길,5번,3,2,기장군,,부산광역시 기장군 철마면 연구리 262-5 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,RC 슬래브,Slab,,Y,45,10.5,4.5,24,, ,,4,1998,2018-06-30,B,기장군청,051-709-5097,2018-08-01,3400000,부산광역시 기장군
보림교,6,철마로,5번,3,2,기장군,,부산광역시 기장군 철마면 연구리 232-2 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,RC 슬래브,Slab,,Y,42,9,4.6,18,, ,,2,1986,2018-06-30,B,기장군청,051-709-5097,2018-08-01,3400000,부산광역시 기장군
철마교,6,개좌로,5번,3,2,기장군,,부산광역시 기장군 철마면 장전리 583-90 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,RC 슬래브,Slab,,Y,90,7.5,4.9,18,, ,,1,1993,2018-06-30,B,기장군청,051-709-5097,2018-08-01,3400000,부산광역시 기장군
장전천교,6,개좌로,5번,3,2,기장군,,부산광역시 기장군 철마면 장전리 583-122 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,Preflex합성형라멘교,Rahmen,,Y,72,8.5,5.9,24,, ,,1,2011,2018-06-30,B,기장군청,051-709-5097,2018-08-01,3400000,부산광역시 기장군
장전교,6,철마로,5번,3,2,기장군,,부산광역시 기장군 철마면 장전리 335-2 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,RC 슬래브,Slab,,Y,10.4,9,4,18,, ,,1,1989,2018-06-30,B,기장군청,051-709-5097,2018-08-01,3400000,부산광역시 기장군
천내들교,6,철마로,5번,3,2,기장군,,부산광역시 기장군 철마면 장전리 418-10 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,PSC I형교,,19,Y,57.129,15,5.8,24,, ,,2,2013,2018-06-30,B,기장군청,051-709-5097,2018-08-01,3400000,부산광역시 기장군
장전2교,6,철마로,5번,3,2,기장군,,부산광역시 기장군 철마면 장전리 457-1 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,RC T-Beam교,,2,Y,36,8.5,2.5,13.5,, ,,1,1974,2018-06-30,B,기장군청,051-709-5097,2018-08-01,3400000,부산광역시 기장군
철마1교,6,여락송정로,5번,3,2,기장군,,부산광역시 기장군 철마면 송정리 600-1 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,RC T-Beam교,,2,Y,60,11.5,4.1,13.5,, ,,1,1971,2018-06-30,B,기장군청,051-709-5097,2018-08-01,3400000,부산광역시 기장군
입석교,6,강변길,5번,3,2,기장군,,부산광역시 기장군 철마면 임기리 1008-60 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,RC 슬래브,Slab,,Y,84.5,5.5,4.3,13.5,, ,,2,1992,2018-06-30,B,기장군청,051-709-5097,2018-08-01,3400000,부산광역시 기장군
임기2교,6,철마삼동로,5번,3,2,기장군,,부산광역시 기장군 철마면 임기리 848-1 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,문형라멘교,Rahmen,,Y,22,12,4,24,, ,,1,2005,2018-06-30,B,기장군청,051-709-5097,2018-08-01,3400000,부산광역시 기장군
임기교,6,철마삼동로,5번,3,2,기장군,,부산광역시 기장군 철마면 임기리 852-23 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,PSC I형교,,19,Y,66.4,12,5.8,24,, ,,2,2006,2018-06-30,B,기장군청,051-709-5097,2018-08-01,3400000,부산광역시 기장군
상곡교,6,임기3길,5번,3,2,기장군,,부산광역시 기장군 철마면 임기리 426 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,문형라멘교,Rahmen,,Y,11,5,2.5,18,, ,,2,1971,2018-06-30,B,기장군청,051-709-5097,2018-08-01,3400000,부산광역시 기장군
상곡2교,6,임기3길,5번,3,2,기장군,,부산광역시 기장군 철마면 임기3길 217-25 일원,37.6069233,126.9692056,37.6069233,126.9692056,99,RC 슬래브,Slab,,Y,12,4.1,4.1,9,, ,,1,1971,2018-06-30,B,기장군청,051-709-5097,2018-08-01,3400000,부산광역시 기장군
덕수교,7,없음,없음,3,1,강북구,서울특별시 강북구 삼양로138길 46,서울특별시 강북구 수유동 697-7,37.648704,127.016481,37.648894,127.016579,99,슬래브교,Slab,,N,25,11.7,5.5,32.4,30,N,,2,2014,2018-06-11,A,서울특별시 강북구,02-901-5855,2018-06-30,3080000,서울특별시 강북구
쌍문414앞교,7,없음,없음,3,1,강북구,서울특별시 강북구 노해로35길 113,서울특별시 강북구 수유동 705-1,37.648787,127.019696,37.648976,127.019605,99,거더교,Girder,,N,26,11.7,5.6,43.2,30,N,,2,2017,2018-06-11,A,서울특별시 강북구,02-901-5855,2018-06-30,3080000,서울특별시 강북구
계성교,7,없음,없음,3,1,강북구,서울특별시 강북구 노해로35길 61,서울특별시 강북구 수유동 710-13,37.647835,127.022342,37.648038,127.022493,99,라멘교,Rahmen,,N,29,6,3.3,43.2,30,N,,1,1985,2018-06-11,B,서울특별시 강북구,02-901-5855,2018-06-30,3080000,서울특별시 강북구
쌍한교,7,없음,없음,3,1,강북구,서울특별시 강북구 도봉로101길 71,서울특별시 강북구 수유동 166-30,37.644864,127.027123,37.645165,127.027627,3,슬래브교,Slab,,N,57,8,3.3,43.2,30,N,,2,1990,2018-06-11,C,서울특별시 강북구,02-901-5855,2018-06-30,3080000,서울특별시 강북구
수유교,7,없음,없음,3,1,강북구,서울특별시 강북구 한천로144길 79,서울특별시 강북구 수유동 166-1,37.644082,127.028362,37.6445,127.028783,3,슬래브교,Slab,,N,57.6,8,5,43.2,30,N,,2,1990,2018-06-11,C,서울특별시 강북구,02-901-5855,2018-06-30,3080000,서울특별시 강북구
번창교,7,없음,없음,3,1,강북구,서울특별시 강북구 한천로132길 87,서울특별시 강북구 번동 465-84,37.642109,127.031508,37.642523,127.031929,3,슬래브교,Slab,,N,54,15,5,32.4,30,N,,2,1994,2018-06-11,B,서울특별시 강북구,02-901-5855,2018-06-30,3080000,서울특별시 강북구
제2우이교,7,없음,없음,3,1,강북구,서울특별시 강북구 도봉로102길 64,서울특별시 강북구 번동 471-14,37.640426,127.033157,37.640571,127.033595,3,슬래브교,Slab,,N,42,4,3.6,24.3,30,N,,1,1971,2018-06-11,B,서울특별시 강북구,02-901-5855,2018-06-30,3080000,서울특별시 강북구
신창교,7,없음,없음,3,1,강북구,서울특별시 강북구 한천로 911,서울특별시 강북구 번동 365-1,37.632885,127.038799,37.633195,127.03944,3,거더교,Girder,,N,49,14,5.8,32,30,N,총중량32톤초과+축하중10톤초과+폭2.5미터초과+높이4미터초과+길이16.7미터초과,2,1979,2018-06-11,B,서울특별시 강북구,02-901-5855,2018-06-30,3080000,서울특별시 강북구
신우연립앞교,7,없음,없음,3,1,강북구,서울특별시 강북구 한천로 833,서울특별시 강북구 번동 267,37.628237,127.044996,37.628762,127.045473,99,슬래브교,Slab,,N,43,3,4.4,24.3,30,N,,1,1982,2018-06-11,B,서울특별시 강북구,02-901-5855,2018-06-30,3080000,서울특별시 강북구
가오천1교,7,없음,없음,3,1,강북구,서울특별시 강북구 삼각산로4길 2,서울특별시 강북구 수유동 516-7,37.638184,127.006314,37.638131,127.006397,99,라멘교,Rahmen,,N,7.2,5.5,4,24.3,30,N,,1,2000,2018-06-11,B,서울특별시 강북구,02-901-5855,2018-06-30,3080000,서울특별시 강북구
새마을교,7,없음,없음,3,1,강북구,서울특별시 강북구 삼각산로 20,서울특별시 강북구 수유동 521-57,37.638559,127.006915,37.638523,127.00693,99,거더교,Girder,,N,7.4,4.2,4,24.3,30,N,,1,2012,2018-06-11,A,서울특별시 강북구,02-901-5855,2018-06-30,3080000,서울특별시 강북구
문수교,7,없음,없음,3,1,강북구,서울특별시 강북구 삼각산로 10,서울특별시 강북구 수유동 522-36,37.637908,127.006087,37.637854,127.006121,99,거더교,Girder,,N,6.5,5.8,4,24.3,30,N,,1,2012,2018-06-11,A,서울특별시 강북구,02-901-5855,2018-06-30,3080000,서울특별시 강북구
대동천1교,7,없음,없음,3,1,강북구,서울특별시 강북구 4.19로12길 5,서울특별시 강북구 수유동 563-34,37.646509,127.007542,37.646477,127.007597,99,거더교,Girder,,N,11.3,6,3,24.3,30,N,,1,2012,2018-06-11,A,서울특별시 강북구,02-901-5855,2018-06-30,3080000,서울특별시 강북구
대동천2교,7,없음,없음,3,1,강북구,서울특별시 강북구 수유동 산86-1,서울특별시 강북구 수유동 산86-1,37.644918,127.004731,37.644993,127.004702,99,거더교,Girder,,N,27.5,6,3,24.3,30,N,,1,2012,2018-06-11,A,서울특별시 강북구,02-901-5855,2018-06-30,3080000,서울특별시 강북구
신우이교,7,없음,없음,3,1,강북구,서울특별시 강북구 삼양로181길 18,서울특별시 강북구 우이동 318,37.664654,127.011744,37.664752,127.011698,99,라멘교,Rahmen,,N,17,10,6.5,43.2,30,N,,2,2017,2018-06-11,A,서울특별시 강북구,02-901-5855,2018-06-30,3080000,서울특별시 강북구
남창대교,99,도시계획도로,군도대로1류,3,14,무안군,,전라남도 무안군 삼향읍 남악리 2613,34.803949,126.474785,34.803535,126.475471,1,비대칭사장교,Cable,,Y,172.5,42.8,3.5,24,60,N,총중량40톤이상차량,6,2008,2018-04-30,C,전라남도 무안군,061-450-4159,2018-06-18,4950000,전라남도 무안군
오룡1교,99,도시계획도로,군도중로1류,3,14,무안군,,전라남도 무안군 삼향읍 남악리 2547,34.80375,126.460995,34.803752,126.461408,99,PSC 라멘교,Rahmen,,Y,40.17,21,2.5,24,60,N,총중량41톤이상차량,4,2008,2018-06-12,B,전라남도 무안군,061-450-4159,2018-06-18,4950000,전라남도 무안군
오룡2교,99,도시계획도로,군도중로1류,3,14,무안군,,전라남도 무안군 삼향읍 남악리 2547,34.803748,126.461851,34.803752,126.461947,99,PSC BOX교,,10,Y,16.27,22,2.5,24,60,N,총중량42톤이상차량,4,2008,2018-06-12,B,전라남도 무안군,061-450-4159,2018-06-18,4950000,전라남도 무안군
오룡3교,99,도시계획도로,군도대로1류,3,14,무안군,,전라남도 무안군 삼향읍 남악리 2539,34.805307,126.460668,34.805316,126.461097,99,PSC BOX교,,10,Y,30.48,42,2.5,24,60,N,총중량43톤이상차량,4,2008,2018-06-12,B,전라남도 무안군,061-450-4159,2018-06-18,4950000,전라남도 무안군
오룡4교,99,도시계획도로,군도대로1류,3,14,무안군,,전라남도 무안군 삼향읍 남악리 2539,34.805327,126.46209,34.805331,126.462291,99,PSC BOX교,,10,Y,16.27,42,2.5,24,60,N,총중량44톤이상차량,4,2008,2018-06-12,B,전라남도 무안군,061-450-4159,2018-06-18,4950000,전라남도 무안군
남악2교,99,도시계획도로,군도중로1류,3,14,무안군,,전라남도 무안군 삼향읍 남악리 2545,34.804103,126.468002,34.804098,126.468264,99,PSC BOX교,,10,Y,40.97,21,2.5,24,60,N,총중량45톤이상차량,4,2008,2018-06-12,B,전라남도 무안군,061-450-4159,2018-06-18,4950000,전라남도 무안군
남악3교,99,도시계획도로,군도중로2류,3,14,무안군,,전라남도 무안군 삼향읍 남악리 2584,34.804446,126.468005,34.804443,126.468281,99,PSC 라멘교,Rahmen,,Y,34.73,13,2.5,24,60,N,총중량46톤이상차량,4,2008,2018-06-12,B,전라남도 무안군,061-450-4159,2018-06-18,4950000,전라남도 무안군
